VideoId1, VideoId2, Ground_Truth_Score
615283,638618,["0"]
615283,148241,["0"]
63435,638618,["0"]
615283,151856,["0"]
63435,151573,["0"]
614834,638618,["0"]
63435,1095,["0"]
614834,3223,["0"]
615283,637984,["0"]
63435,148241,["0"]
614834,62169,["1"]
615283,1759,["0"]
63435,28984,["0"]
63435,1759,["0"]
63435,630200,["0"]
615283,151573,["0"]
614834,613521,["1"]
63435,15581,["0"]
614834,71534,["1"]
63435,151339,["0"]
63435,639267,["0"]
614834,151573,["0"]
63435,3155,["0"]
63435,1293,["0"]
614834,1479,["1"]
615283,71534,["0"]
615283,1479,["0"]
615283,3155,["0"]
63435,613521,["0"]
615283,15581,["0"]
63435,3223,["0"]
615283,151339,["0"]
615283,62169,["0"]
615283,1293,["0"]
63435,1479,["0"]
614834,15581,["0"]
63435,637984,["0"]
614834,148241,["1"]
615283,155955,["0"]
63435,71534,["0"]
614834,637984,["0"]
614834,151856,["1"]
615283,28984,["0"]
615283,1095,["0"]
614834,1095,["0"]
63435,62169,["1"]
614834,28984,["1"]
614834,1759,["1"]
614834,3155,["0"]
615283,630200,["1"]
615283,639267,["0"]
63435,151856,["0"]
63435,155955,["0"]
614834,1293,["1"]
614834,155955,["1"]
614834,639267,["0"]
615283,3223,["0"]
614834,151339,["0"]
614834,630200,["1"]
615283,613521,["0"]
