VideoId,AnnotatorId,timeSpent,Types,Other types,
634396,1402669814735,96,["documentary-report"],,
624287,1402669814735,16,["documentary-report"],,
29819,1402669814735,40,["documentary-report"],,
616818,1402669814735,15,["news-item"],,
626138,1402669814735,12,["documentary-report"],,
21994,1402669814735,9,["news-item"],,
2179,1402669814735,8,["documentary-report"],,
625793,1402669814735,13,["documentary-report"],,
627998,1402669814735,6,["video-blog"],,
151856,1402669814735,51,["documentary-report"],,
148241,1402669814735,11,["documentary-report"],,
15581,1402669814735,26,["documentary-report"],,
151434,1402669814735,20,["event-coverage"],,
621116,1402669814735,9,["event-coverage"],,
616609,1402669814735,34,["documentary-report"],,
14588,1402669814735,27,["news-item"],,
2067,1402669814735,9,["documentary-report"],,
616693,1402669814735,12,["event-coverage"],,
637750,1402669814735,9,["documentary-report"],,
618084,1402669814735,15,["news-item"],,
151031,1402669814735,32,["news-item"],,
615242,1402669814735,15,["documentary-report"],,
638788,1402669814735,50,["documentary-report"],,
631201,1402669814735,24,["documentary-report"],,
614858,1402669814735,34,["news-item"],,
160881,1402669814735,11,["documentary-report"],,
160161,1402669814735,10,["documentary-report"],,
617485,1402669814735,13,["event-coverage"],,
1279,1402669814735,11,["documentary-report"],,
630726,1402669814735,35,["news-item"],,
617569,1402669814735,8,["event-coverage"],,
2801,1402669814735,6,["documentary-report"],,
